Date,Population,Growth,GrowthRate
12/31/1950,1491000,0,0
12/31/1951,1554000,63000,0.042253521
12/31/1952,1591000,37000,0.023809524
12/31/1953,1628000,37000,0.023255814
12/31/1954,1666000,38000,0.023341523
12/31/1955,1705000,39000,0.023409364
12/31/1956,1745000,40000,0.023460411
12/31/1957,1786000,41000,0.023495702
12/31/1958,1828000,42000,0.023516237
12/31/1959,1871000,43000,0.023522976
12/31/1960,1915000,44000,0.023516836
12/31/1961,1976000,61000,0.031853786
12/31/1962,2073000,97000,0.049089069
12/31/1963,2175000,102000,0.049204052
12/31/1964,2282000,107000,0.049195402
12/31/1965,2394000,112000,0.049079755
12/31/1966,2512000,118000,0.049289891
12/31/1967,2636000,124000,0.049363057
12/31/1968,2766000,130000,0.049317147
12/31/1969,2901000,135000,0.048806941
12/31/1970,3044000,143000,0.049293347
12/31/1971,3180000,136000,0.044678055
12/31/1972,3279000,99000,0.031132075
12/31/1973,3381000,102000,0.031107045
12/31/1974,3486000,105000,0.031055901
12/31/1975,3594000,108000,0.030981067
12/31/1976,3705000,111000,0.030884808
12/31/1977,3820000,115000,0.031039136
12/31/1978,3939000,119000,0.031151832
12/31/1979,4061000,122000,0.030972328
12/31/1980,4187000,126000,0.031026841
12/31/1981,4307000,120000,0.028660139
12/31/1982,4411000,104000,0.024146738
12/31/1983,4517000,106000,0.024030832
12/31/1984,4625000,108000,0.023909675
12/31/1985,4736000,111000,0.024
12/31/1986,4850000,114000,0.024070946
12/31/1987,4966000,116000,0.023917526
12/31/1988,5085000,119000,0.023962948
12/31/1989,5207000,122000,0.023992134
12/31/1990,5332000,125000,0.024006146
12/31/1991,5455000,123000,0.023068267
12/31/1992,5571000,116000,0.021264895
12/31/1993,5690000,119000,0.021360617
12/31/1994,5811000,121000,0.021265378
12/31/1995,5934000,123000,0.021166753
12/31/1996,6061000,127000,0.02140209
12/31/1997,6190000,129000,0.021283617
12/31/1998,6321000,131000,0.021163166
12/31/1999,6456000,135000,0.02135738
12/31/2000,6593000,137000,0.02122057
12/31/2001,6744000,151000,0.022903079
12/31/2002,6920000,176000,0.026097272
12/31/2003,7101000,181000,0.026156069
12/31/2004,7287000,186000,0.026193494
12/31/2005,7477000,190000,0.02607383
12/31/2006,7672000,195000,0.026079979
12/31/2007,7873000,201000,0.026199166
12/31/2008,8079000,206000,0.026165375
12/31/2009,8290000,211000,0.026117094
12/31/2010,8506000,216000,0.026055489
12/31/2011,8728000,222000,0.026099224
12/31/2012,8957000,229000,0.026237397
12/31/2013,9191000,234000,0.026124819
12/31/2014,9431000,240000,0.026112501
12/31/2015,9677000,246000,0.02608419
12/31/2016,9930000,253000,0.026144466
12/31/2017,10189000,259000,0.026082578
12/31/2018,10456000,267000,0.026204731
12/31/2019,10711000,255000,0.024387911
